code,medal,rank
USA,18853,1
FRA,12758,2
GBR,12256,3
ITA,10715,4
GER,9830,5
CAN,9733,6
JPN,8444,7
SWE,8339,8
AUS,7638,9
HUN,6607,10
POL,6207,11
SUI,6150,12
NED,5839,13
URS,5685,14
FIN,5467,15
ESP,5313,16
RUS,5143,17
AUT,5141,18
CHN,5141,19
NOR,4960,20
KOR,4464,21
ROU,4405,22
TCH,4404,23
BEL,3857,24
BRA,3848,25
DEN,3570,26
BUL,3530,27
FRG,3315,28
ARG,3297,29
GRE,3181,30
MEX,2880,31
GDR,2645,32
YUG,2583,33
UKR,2559,34
CUB,2479,35
NZL,2342,36
CZE,1874,37
BLR,1787,38
RSA,1711,39
EGY,1622,40
POR,1522,41
KAZ,1429,42
IND,1408,43
TUR,1356,44
IRL,1325,45
SLO,1111,46
TPE,1097,47
COL,1069,48
SVK,1055,49
LUX,996,50
LAT,951,51
PUR,927,52
CHI,925,53
VEN,925,54
NGR,882,55
CRO,876,56
EST,876,57
EUN,864,58
JAM,848,59
PRK,807,60
IRI,789,61
KEN,772,62
THA,747,63
PHI,694,64
HKG,685,65
MAR,682,66
ISR,665,67
LTU,654,68
ISL,627,69
URU,576,70
PAK,562,71
TUN,561,72
ALG,551,73
MGL,550,74
PER,532,75
MAS,530,76
UZB,495,77
GUA,425,78
INA,412,79
SEN,393,80
SRB,392,81
ETH,378,82
TTO,375,83
BAH,374,84
LIE,369,85
GHA,359,86
SGP,349,87
LIB,329,88
SCG,321,89
CMR,312,90
ZIM,311,91
ISV,294,92
GEO,286,93
KUW,284,94
AZE,283,95
DOM,277,96
ECU,277,97
ANG,267,98
CRC,264,99
UGA,260,100
MDA,234,101
FIJ,232,102
IRQ,232,103
KSA,230,104
KGZ,227,105
CYP,225,106
ARM,221,107
BAR,219,108
ESA,218,109
BER,212,110
MON,197,111
CIV,193,112
QAT,192,113
HON,189,114
ZAM,183,115
SMR,181,116
AND,169,117
TAN,161,118
SYR,156,119
VIE,154,120
BOH,153,121
BOL,152,122
SRI,146,123
MRI,144,124
UAE,144,125
PAN,139,126
PAR,135,127
BIH,134,128
ANT,133,129
NCA,129,130
AFG,126,131
BRN,126,132
UAR,123,133
MAD,119,134
MLT,118,135
SLE,114,136
GUM,112,137
MYA,111,138
SEY,111,139
PNG,108,140
SUD,107,141
HAI,106,142
CGO,105,143
GUY,102,144
IOA,94,145
MNE,94,146
NEP,94,147
COD,93,148
SAA,93,149
MLI,92,150
BOT,90,151
MAW,87,152
ANZ,86,153
LBA,84,154
MKD,84,155
CAY,83,156
JOR,80,157
AHO,79,158
MOZ,78,159
NAM,77,160
BIZ,76,161
LBR,74,162
GUI,73,163
BEN,71,164
ALB,70,165
TJK,70,166
SUR,69,167
CAF,67,168
SWZ,67,169
LES,66,170
OMA,66,171
CAM,63,172
GAB,63,173
SAM,63,174
VNM,62,175
TOG,59,176
GAM,56,177
RWA,56,178
BAN,55,179
GRN,54,180
LAO,54,181
TKM,54,182
MDV,49,183
NIG,47,184
TGA,46,185
IVB,45,186
MAL,45,187
BUR,44,188
ERI,43,189
ARU,42,190
SKN,42,191
VIN,42,192
CHA,41,193
COK,40,194
GEQ,40,195
BDI,39,196
DJI,38,197
ASA,37,198
BHU,36,199
VAN,35,200
SOM,32,201
YEM,32,202
MTN,29,203
LCA,28,204
SOL,27,205
FSM,26,206
PLW,25,207
GBS,21,208
PLE,21,209
WIF,20,210
COM,19,211
DMA,19,212
CPV,18,213
STP,15,214
MHL,14,215
NRU,13,216
RHO,12,217
ROT,12,218
CRT,11,219
KIR,11,220
YAR,11,221
BRU,10,222
TLS,9,223
KOS,8,224
TUV,7,225
YMD,5,226
SSD,3,227
NBO,2,228
UNK,2,229
NFL,1,230
