Sport,Medal_Count_M,Medal_Count_F
Alpine Skiing,215,213
Archery,232,121
Athletics,2694,1275
Basketball,687,393
Biathlon,258,150
Bobsleigh,374,24
Boxing,920,24
Canoeing,883,282
Cross Country Skiing,437,339
Cycling,1087,176
Diving,226,201
Equestrianism,758,207
Fencing,1394,349
Figure Skating,195,191
Football,1269,302
Gymnastics,1555,701
Handball,588,472
Hockey,1050,478
Ice Hockey,1230,300
Judo,351,196
Rowing,2225,720
Sailing,1098,134
Shooting,1082,146
Short Track Speed Skating,144,140
Speed Skating,338,242
Swimming,1674,1374
Tennis,200,140
Volleyball,495,474
Water Polo,866,191
Weightlifting,541,105
Wrestling,1228,68
